Gene_Symbol	logFC	pv
SELENOH	3.034164501	0.005
CNPY2	0.67385544	0.005
AMMECR1	0.911027187	0.005
AP1S1	0.95741934	0.005
CYB561	-1.576413835	0.005
TRAF4	1.436282755	0.005
SLC25A11	0.961865904	0.005
H1-0	0.736108705	0.005
CLTB	-0.956954067	0.005
HMCN2	-5.015465201	0.005
HERPUD1	-1.067029089	0.005
IDH2	2.200993696	0.005
SKA2	1.480341556	0.005
MRPL40	0.686093283	0.005
MPP6	0.86171597	0.005
MYO7A	2.31563652	0.005
NKAIN3	1.67243848	0.005
PPIA	0.201294412	0.005
GLIPR2	0.54500889	0.005
BMPER	0.772746582	0.005
HMGB2	2.370892404	0.005
COMMD3	0.677807109	0.005
NAGK	0.888349879	0.005
FAM89B	0.765624201	0.005
POSTN	1.684189363	0.005
RPL41	0.264930986	0.005
KDELR2	0.825787254	0.005
COL5A2	0.779962287	0.005
ACTN1	1.813125027	0.005
LOX	1.26864199	0.005
COL3A1	0.58762058	0.005
CRLF1	0.765701012	0.005
NCAM1	3.936715897	0.005
CSRP2	1.848780397	0.005
PRDX5	0.630104076	0.005
RPS26	0.289384276	0.005
SULF1	-0.484087167	0.005
KPNB1	0.814089994	0.005
DCTD	1.921187158	0.005
ATP5MC2	0.643008774	0.005
PPIL1	1.149054924	0.005
NUDCD2	0.760079482	0.005
TNC	2.107175828	0.005
PDGFRA	-1.161039528	0.005
PRG4	-2.228558976	0.005
RNF150	1.475279559	0.005
CTHRC1	4.220943206	0.005
CCN4	4.997563759	0.005
KLF4	-2.539842526	0.005
ZFP36	-1.069981604	0.005
HSD11B1	-3.924290718	0.005
JUN	-0.63998519	0.005
SCD5	1.043279547	0.005
EGR1	-0.899401318	0.005
FOS	-0.581501352	0.005
NFKB1	-0.76229913	0.005
CEBPD	-1.274738318	0.005
NR4A1	-1.963210908	0.005
GPC4	0.845309052	0.005
PRSS23	1.333350644	0.005
LURAP1L	1.988646575	0.005
CREB3L3	14.80346403	0.005
TRIB1	-1.806578833	0.005
RNASE4	-1.177447898	0.005
