Gene_Symbol	logFC	pv
P4HB	-0.677334736	0.0005
SRGN	-0.743197533	0.0005
ERO1A	-1.173324468	0.0005
EGLN3	-2.869734663	0.0005
BNIP3	-0.915163877	0.0005
CD53	-0.458524806	0.0005
LGALS3	0.185067957	0.0005
EIF1	-0.337113646	0.0005
RDH12	-4.2295555	0.0005
BTG1	-0.81314839	0.0005
INHBA	-2.618033134	0.0005
IL6	-3.353172084	0.0005
RGCC	-0.904080491	0.0005
RUNX1	-1.625536233	0.0005
SMOX	-1.773512787	0.0005
CD14	-0.48658625	0.0005
FNDC3A	-1.447741624	0.0005
CXCL2	-0.777097556	0.0005
PLEK	-0.472982459	0.0005
MT1A	0.515368387	0.0005
JUND	-0.770137015	0.0005
PFKP	-1.662458293	0.0005
TRIB1	-1.344728656	0.0005
F10	-1.628148423	0.0005
GADD45A	-1.65349412	0.0005
SLPI	-2.197524698	0.0005
MMP19	-1.006619998	0.0005
PRDX6	-0.689334118	0.0005
FCGR3A	-0.568551338	0.0005
ANXA2	-0.271853378	0.0005
ARG1	1.140393012	0.0005
SLC16A3	-1.624673521	0.0005
SELENOK	-0.473368443	0.0005
CREM	-0.653096109	0.0005
ACTG1	-0.36102548	0.0005
PRDX5	-0.548045008	0.0005
NEDD9	-1.941161399	0.0005
SLC2A1	-2.016634669	0.0005
OSM	-1.715322696	0.0005
CHD7	-0.595046861	0.0005
DNAJB9	-1.644943782	0.0005
MANF	-0.709250557	0.0005
THBS1	-0.921676926	0.0005
PFKL	-1.179993728	0.0005
HSPA5	-0.367416906	0.0005
ARID5A	-1.2516236	0.0005
MGST1	-2.535549611	0.0005
LYSMD3	-1.66472212	0.0005
F13A1	-0.815920441	0.0005
TES	-2.505573099	0.0005
FAU	-0.245074094	0.0005
GPR141	-1.654685602	0.0005
CDKN1A	-0.501085286	0.0005
SDF2L1	0.544214938	0.0005
CDK2AP2	-1.215491523	0.0005
PRKCE	-1.577808728	0.0005
TMEM248	-1.184220855	0.0005
SSR3	-1.150066496	0.0005
DNAJC3	-0.667787288	0.0005
HMOX1	1.015429607	0.0005
TMED2	-0.486533301	0.0005
SSR2	-0.709278019	0.0005
SPCS2	-0.660211755	0.0005
ATF5	-2.372549443	0.0005
MIF	0.590153908	0.0005
SEC61G	-0.335140388	0.0005
DGKG	-2.040184338	0.0005
MMP8	-2.20491895	0.0005
PLAUR	-1.313917724	0.0005
RBMS1	-0.641000322	0.0005
SPP1	2.686920167	0.0005
IL7R	1.872181938	0.0005
PLIN2	0.640633936	0.0005
EMP1	1.776552915	0.0005
ERRFI1	-1.244423326	0.0005
ARHGAP15	-1.024513223	0.0005
ADORA2B	-1.517961157	0.0005
ARF5	-0.421070121	0.0005
MVD	-1.776310556	0.0005
TMED5	-1.133083958	0.0005
ORAI1	-1.373571888	0.0005
CORO1A	-0.546816754	0.0005
CD33	-3.329904326	0.0005
ST7	-2.220220285	0.0005
SELENOS	-0.529813653	0.0005
FGR	-1.236331869	0.0005
RAB3IL1	1.559090399	0.0005
SAMHD1	-1.392609031	0.0005
PITPNC1	0.790176978	0.0005
LAT2	1.614561922	0.0005
EXOSC5	2.028545335	0.0005
MAML3	-0.719902993	0.0005
SCAMP3	1.431859978	0.0005
TEX264	1.927604153	0.0005
SCFD1	-1.023285158	0.0005
IL1R2	-3.689156721	0.0005
TGM1	-3.321355063	0.0005
ID2	0.562366578	0.0005
SERPINB2	-6.220557925	0.0005
IL13RA1	-1.744738824	0.0005
IGSF6	-0.80588401	0.0005
S100A11	-0.381427977	0.0005
BST1	-1.151119576	0.0005
CASP6	-2.142962019	0.0005
IQGAP2	1.443943198	0.0005
RNF217	-2.172248248	0.0005
MERTK	2.956216371	0.0005
SVIL	-1.019046814	0.0005
STK17B	-1.128645225	0.0005
DNAJB11	-0.650687538	0.0005
ELK4	-1.847952753	0.0005
SNX18	-0.967882298	0.0005
FAM107B	-0.805842158	0.0005
CALM2	0.33288923	0.0005
GLUL	0.939868488	0.0005
STAT3	-0.834825255	0.0005
ELF4	-1.349184854	0.0005
ST3GAL4	-2.335963172	0.0005
MSRB1	-0.877679697	0.0005
SRP9	-0.491303792	0.0005
FKBP2	0.518995661	0.0005
