Gene_Symbol	logFC	pv
LYPLA2	-1.720183576	0.00001
CEBPB	-1.618389811	0.00001
CXCL1	-1.60833103	0.00001
UGDH	-1.483959789	0.00001
MAFF	-1.474349194	0.00001
TNFAIP6	-1.180292973	0.00001
KDM6B	-1.165848956	0.00001
SGK1	-1.145965772	0.00001
HSPA1A	-1.064312383	0.00001
TGM2	-1.063481093	0.00001
IER3	-1.043276498	0.00001
NR4A1	-1.021406991	0.00001
BTG2	-0.999121715	0.00001
ATF3	-0.985078274	0.00001
ZFP36	-0.974382246	0.00001
KLF4	-0.910372361	0.00001
IL6	-0.903120332	0.00001
PLA1A	-0.896990012	0.00001
NR4A3	-0.884401458	0.00001
NFKB1	-0.882311029	0.00001
SNAI1	1.1027542	0.00001
SMAD3	1.293022233	0.00001
ADAM12	1.299892513	0.00001
IRF3	1.350510987	0.00001
DOT1L	1.463301314	0.00001
RGS2	1.525195636	0.00001
ATP1B3	1.526089589	0.00001
SMS	1.624455081	0.00001
PLEKHO2	1.680080009	0.00001
KCNIP1	1.910925966	0.00001
OPA3	2.040431294	0.00001
UBASH3B	2.115301058	0.00001
FBXO33	3.091430506	0.00001
DEPDC5	3.124183856	0.00001
