Gene_Symbol	logFC	pv
SERPINB2	-1.281374816	0.0001
TES	-1.21932548	0.0001
UPP1	-1.761076911	0.0001
SLPI	-1.304348374	0.0001
LPAR1	-1.597083907	0.0001
SC5D	-2.507973899	0.0001
NEDD9	-1.200104363	0.0001
SMOX	-1.17635262	0.0001
IL13RA1	-1.345633472	0.0001
PFKP	-1.1932377	0.0001
GPR141	-1.40585311	0.0001
GADD45A	-1.211281321	0.0001
F10	-1.545417259	0.0001
SEC23B	-1.213952514	0.0001
SELENBP1	-1.14205147	0.0001
EMILIN2	-1.152315696	0.0001
TLR4	-1.139802904	0.0001
ZNF292	-1.628695594	0.0001
KLF7	-1.337785002	0.0001
MAML2	-1.570979587	0.0001
ATF4	-1.440831687	0.0001
P4HB	-1.16558587	0.0001
PCGF5	-1.42047705	0.0001
MAP2K1	-1.702412213	0.0001
P4HA1	-1.239257022	0.0001
SLC23A2	-1.109665383	0.0001
FBXO28	-2.084025472	0.0001
RSBN1	-1.564878713	0.0001
GRINA	-1.155262881	0.0001
SERPINE1	-1.168607118	0.0001
EIF4EBP1	-1.174093425	0.0001
RESF1	-1.66441893	0.0001
RBPMS	-1.878627895	0.0001
FAM102B	-1.391169016	0.0001
TDRD7	-1.586743629	0.0001
SLC2A1	-1.03061515	0.0001
PRDX6	-1.140948448	0.0001
HIGD1A	-1.193966064	0.0001
RPL3	1.146298673	0.0001
RPL14	1.270996771	0.0001
LYAR	1.182028042	0.0001
