Gene_Symbol	logFC	pv
IGF1	-1.666441109	0.00005
CD72	-1.390992022	0.00005
CKB	-1.467130638	0.00005
H2BC5	-1.400278946	0.00005
CAMK1	-1.377312914	0.00005
SLAMF9	-1.373232529	0.00005
STMN1	-1.219431982	0.00005
MFGE8	-1.255638467	0.00005
BLNK	-1.682346242	0.00005
S100A1	-1.514073443	0.00005
CXCL14	-1.557132775	0.00005
TSPAN4	-1.766855626	0.00005
CADM1	-1.333103296	0.00005
BCL2L1	1.427537411	0.00005
SPTSSA	-1.387428282	0.00005
PRDX4	-1.011819251	0.00005
CELA1	-1.064378831	0.00005
PDGFC	-1.323200695	0.00005
NPY	-1.353254385	0.00005
FBXW4	-1.415948833	0.00005
F7	0.857708188	0.00005
AMDHD2	0.815943761	0.00005
GPNMB	-0.913014113	0.00005
CCL8	-1.357757522	0.00005
CD9	-1.209535173	0.00005
LPL	-1.003891249	0.00005
MMP12	-0.985817479	0.00005
PLD3	-1.377235276	0.00005
ACP5	-0.986741505	0.00005
WWP1	-0.926202503	0.00005
STAB1	-0.99727807	0.00005
H1-2	-1.292774331	0.00005
LGALS3BP	-1.436894669	0.00005
GAS6	-1.069002062	0.00005
LIPA	-1.256493814	0.00005
PTMS	-1.49027131	0.00005
PMP22	-1.395722585	0.00005
ABHD12	-0.961572337	0.00005
FOLR2	-1.189988354	0.00005
CYB5A	-1.208251254	0.00005
UHRF2	-1.139928599	0.00005
SOAT1	-0.839114434	0.00005
IFI27	-1.048551091	0.00005
GPR137B	-0.942668688	0.00005
TMEM140	-0.831844933	0.00005
RHOC	-1.10669243	0.00005
SELENOH	-0.987628424	0.00005
ATP6V0D2	-0.933571171	0.00005
SELENOM	-1.244691058	0.00005
TLE5	-1.191845678	0.00005
FAM219A	-1.521813317	0.00005
MTSS1	-0.880682653	0.00005
SLC25A4	-1.417316848	0.00005
DNMT3A	-1.16419963	0.00005
HEBP1	-1.095004758	0.00005
ACSS1	-1.182335709	0.00005
NENF	-1.378221289	0.00005
IL3RA	-1.016846644	0.00005
OSBPL11	-0.966675546	0.00005
