Gene_Symbol	logFC	pv
CYB561	-1.576413835	0.00001
CLTB	-0.956954067	0.00001
H1-0	0.736108705	0.00001
HMCN2	-5.015465201	0.00001
JUN	-0.63998519	0.00001
HERPUD1	-1.067029089	0.00001
RHOB	-1.475607134	0.00001
CDKN1A	-1.308131503	0.00001
MYO7A	2.31563652	0.00001
FETUB	-4.073944534	0.00001
SQOR	-1.858944826	0.00001
COL3A1	0.58762058	0.00001
PRG4	-2.228558976	0.00001
CEBPD	-1.274738318	0.00001
RNASE4	-1.177447898	0.00001
JUNB	-0.971252506	0.00001
MGP	-0.774391178	0.00001
GFPT2	-1.644503725	0.00001
SMAD6	2.144113947	0.00001
COL4A2	-0.831881367	0.00001
ITM2B	-0.190693529	0.00001
ENTPD2	-3.164599911	0.00001
CD9	-0.573311125	0.00001
IER2	-1.003400878	0.00001
ALDH2	-0.933435082	0.00001
SLC43A3	-1.40648159	0.00001
CRLF1	0.765701012	0.00001
PNRC1	-1.184813805	0.00001
SULF1	-0.484087167	0.00001
NR4A1	-1.963210908	0.00001
GSTM1	-2.528902532	0.00001
PDGFRA	-1.161039528	0.00001
BTG2	-0.885191094	0.00001
FOS	-0.581501352	0.00001
TNFAIP2	-1.151269391	0.00001
ICOSLG	-3.795799914	0.00001
MGST1	-0.834167511	0.00001
JUND	-0.522983796	0.00001
IFNGR1	-1.212415972	0.00001
KLF4	-2.539842526	0.00001
ZFP36	-1.069981604	0.00001
EGR1	-0.899401318	0.00001
CYGB	-0.928739218	0.00001
GPC4	0.845309052	0.00001
DCN	-0.688029446	0.00001
TRIP10	-2.035332149	0.00001
KLF2	-1.412084711	0.00001
FTH1	-0.407284152	0.00001
PDE4D	1.02326862	0.00001
GABARAPL2	-0.547843784	0.00001
RGMA	-1.743489002	0.00001
LAMA2	-1.46870894	0.00001
DUSP1	-1.321131899	0.00001
F2R	-0.939541183	0.00001
BAG3	-1.389381824	0.00001
QPCT	-1.506639594	0.00001
NTN1	-1.931391749	0.00001
NDFIP1	-0.224343485	0.00001
ANXA5	-0.190507481	0.00001
MTCH1	-0.303448827	0.00001
HSD11B1	-3.924290718	0.00001
CD34	-2.082808309	0.00001
NFKB1	-0.76229913	0.00001
GPX3	-0.75277015	0.00001
GEM	-1.857520854	0.00001
GSN	-2.2466363	0.00001
TRIB1	-1.806578833	0.00001
MT2A	-1.754882574	0.00001
HIVEP2	-0.664791886	0.00001
SMOC2	-1.47550519	0.00001
NFKBIZ	-1.096671754	0.00001
