Gene_Symbol	logFC	pv
ABCE1	0.478	0.001
ADAM12	0.763	0.001
ADAMTS4	-0.861	0.001
ADAMTS9	0.012	0.001
ARC	-1.145	0.001
ATF3	-0.617	0.001
ATP1B3	-0.162	0.001
BHLHE40	-1.652	0.001
BIRC3	-1.316	0.001
BTG2	-0.885	0.001
CEBPB	-0.815	0.001
CXCL1	-0.38	0.001
CXCL2	-0.343	0.001
DEPDC5	0.862	0.001
EGR2	-0.688	0.001
EGR3	-1.765	0.001
ELL2	1.728	0.001
F2RL1	-1.964	0.001
FBXO33	1.07	0.001
FETUB	-4.074	0.001
FOSB	-0.982	0.001
FOSL2	-0.397	0.001
GCLC	-0.551	0.001
GEM	-1.858	0.001
HAS1	-2.956	0.001
HSPA1A	-0.966	0.001
HSPH1	-0.079	0.001
IER3	-0.278	0.001
IER5	0.043	0.001
IL6	-0.327	0.001
IRF3	0.325	0.001
KDM6B	-0.437	0.001
KHDRBS3	-0.091	0.001
KLF4	-2.54	0.001
LMO2	-4.102	0.001
LYPLA2	-0.994	0.001
MAFF	-1.641	0.001
NES	0.856	0.001
NFKB1	-0.762	0.001
NFKBIA	-0.088	0.001
NR4A1	-1.963	0.001
NR4A2	-0.648	0.001
NR4A3	-1.483	0.001
OPA3	-0.413	0.001
PDE4B	-1.714	0.001
PHLDA1	-0.483	0.001
PIM1	-0.079	0.001
PLA1A	-1.341	0.001
PTGS2	-1.637	0.001
RGS2	1.424	0.001
RNF217	0.25	0.001
RRAS2	0.528	0.001
SBNO2	-1.221	0.001
SERTAD1	-0.256	0.001
SGK1	-0.861	0.001
SLC10A6	-3.764	0.001
SMAD3	-1.019	0.001
SMS	0.939	0.001
TGM2	-1.711	0.001
TIPARP	-0.523	0.001
TNFAIP2	-1.151	0.001
TNFAIP6	-0.63	0.001
TRIB1	-1.807	0.001
UGDH	-0.773	0.001
ZFP36	-1.07	0.001
