Gene_Symbol	logFC	pv
ACAN	14.789	0.001
ADAMTS17	3.819	0.001
ANTXR1	1.725	0.001
AQP2	4.507	0.001
C1QTNF3	4.718	0.001
CDH11	2.155	0.001
COL11A1	1.305	0.001
COL16A1	1.445	0.001
EDNRA	1.122	0.001
EIF1	-0.009	0.001
ERBIN	1.002	0.001
KIAA1217	5.049	0.001
FBN2	0.24	0.001
FLRT2	0.867	0.001
FMN1	0.087	0.001
FNDC1	1.194	0.001
GRB10	0.556	0.001
IFITM10	3.403	0.001
ITGA11	1.606	0.001
ITM2A	1.689	0.001
JPH2	0.389	0.001
KCNJ15	3.743	0.001
KCNMA1	4.953	0.001
KCNQ3	1.51	0.001
KDM5B	0.945	0.001
LTBP1	0.989	0.001
MDK	1.026	0.001
MFAP2	0.225	0.001
MPPED2	1.226	0.001
MYO1E	1.89	0.001
NCAM1	0.249	0.001
NEO1	1.726	0.001
NHS	1.499	0.001
NLK	0.938	0.001
NUAK1	2.165	0.001
NXN	-0.091	0.001
OLFML2B	1.542	0.001
OSBPL8	0.468	0.001
PAMR1	3.997	0.001
PHLDB2	0.037	0.001
PICALM	0.764	0.001
PIEZO2	0.828	0.001
PIK3R3	0.017	0.001
PLAAT3	0.339	0.001
PLXNA4	3.727	0.001
PRICKLE1	2.234	0.001
RAI14	0.338	0.001
RAMP1	3.044	0.001
RGL1	1.433	0.001
RIN2	2.322	0.001
SCX	2.664	0.001
SERF1A	0.17	0.001
SLC31A1	-0.909	0.001
SLC7A2	1.742	0.001
SLIT2	0.143	0.001
SSC5D	1.69	0.001
ST3GAL5	2.164	0.001
STRBP	2.039	0.001
SULF2	2.098	0.001
SUSD6	0.881	0.001
TCEA3	1.589	0.001
THBS2	1.178	0.001
TMEM263	-0.551	0.001
TRABD2B	1.001	0.001
TSC22D1	0.603	0.001
UNC119	1.305	0.001
