Gene_Symbol	logFC	pv
P4HB	-0.677334736	0.00001
SRGN	-0.743197533	0.00001
ERO1A	-1.173324468	0.00001
EGLN3	-2.869734663	0.00001
BNIP3	-0.915163877	0.00001
CD53	-0.458524806	0.00001
LGALS3	0.185067957	0.00001
EIF1	-0.337113646	0.00001
RDH12	-4.2295555	0.00001
BTG1	-0.81314839	0.00001
INHBA	-2.618033134	0.00001
IL6	-3.353172084	0.00001
RGCC	-0.904080491	0.00001
RUNX1	-1.625536233	0.00001
SMOX	-1.773512787	0.00001
CD14	-0.48658625	0.00001
FNDC3A	-1.447741624	0.00001
CXCL2	-0.777097556	0.00001
PLEK	-0.472982459	0.00001
MT1A	0.515368387	0.00001
JUND	-0.770137015	0.00001
PFKP	-1.662458293	0.00001
TRIB1	-1.344728656	0.00001
F10	-1.628148423	0.00001
GADD45A	-1.65349412	0.00001
TMSB4X	0.106440649	0.00001
CD52	-0.396107875	0.00001
LGMN	1.038158495	0.00001
CTSA	0.634736659	0.00001
TGFBI	-0.338619097	0.00001
NME1	0.443790985	0.00001
PRDX1	0.595444868	0.00001
RPS27L	0.759651018	0.00001
PTMA	0.301422011	0.00001
COTL1	0.311383912	0.00001
RPS2	0.235756536	0.00001
RANBP1	0.571979329	0.00001
APOC2	0.4995521	0.00001
RAN	0.535143655	0.00001
APOE	0.298840911	0.00001
CCR2	-0.718655235	0.00001
EEF1G	0.45022824	0.00001
IFITM2	-0.742687925	0.00001
NDUFB8	0.500330383	0.00001
ACTB	0.151683411	0.00001
LAMTOR4	0.564133027	0.00001
ITM2B	0.238870409	0.00001
RPL12	0.304878394	0.00001
NDUFB7	0.476108137	0.00001
SLPI	-2.197524698	0.00001
MMP19	-1.006619998	0.00001
PRDX6	-0.689334118	0.00001
FCGR3A	-0.568551338	0.00001
ANXA2	-0.271853378	0.00001
ARG1	1.140393012	0.00001
SLC16A3	-1.624673521	0.00001
SELENOK	-0.473368443	0.00001
CREM	-0.653096109	0.00001
ACTG1	-0.36102548	0.00001
PRDX5	-0.548045008	0.00001
NEDD9	-1.941161399	0.00001
SLC2A1	-2.016634669	0.00001
OSM	-1.715322696	0.00001
CHD7	-0.595046861	0.00001
CD48	1.210410641	0.00001
CTSB	0.77615927	0.00001
RPS27A	-0.17225441	0.00001
SELENOP	1.065993814	0.00001
MS4A7	4.252352176	0.00001
MPEG1	0.619583569	0.00001
TREM2	2.338322576	0.00001
HEXA	0.884039899	0.00001
RAB3IL1	1.559090399	0.00001
S100A4	-0.317224452	0.00001
RGS10	1.387985388	0.00001
IFITM3	-0.522783747	0.00001
CREG1	0.727737287	0.00001
DNAJB9	-1.644943782	0.00001
MANF	-0.709250557	0.00001
THBS1	-0.921676926	0.00001
PFKL	-1.179993728	0.00001
HSPA5	-0.367416906	0.00001
ARID5A	-1.2516236	0.00001
MGST1	-2.535549611	0.00001
LYSMD3	-1.66472212	0.00001
ATP5IF1	0.971661472	0.00001
AIF1	1.481982029	0.00001
BOLA2	0.807333081	0.00001
ACP5	1.578368924	0.00001
HSPE1	0.90070382	0.00001
LGALS1	0.945081765	0.00001
HEXB	1.386032384	0.00001
GUSB	1.459356602	0.00001
ATP5MPL	0.455663636	0.00001
C1QA	3.413722839	0.00001
PRKCD	-0.778269622	0.00001
UQCR11	0.630127177	0.00001
F13A1	-0.815920441	0.00001
TES	-2.505573099	0.00001
FAU	-0.245074094	0.00001
GPR141	-1.654685602	0.00001
CDKN1A	-0.501085286	0.00001
APRT	0.734670109	0.00001
HINT1	0.344470357	0.00001
CLTA	0.484829635	0.00001
ARHGDIB	-0.375212689	0.00001
CD68	0.649509413	0.00001
SDF2L1	0.544214938	0.00001
CDK2AP2	-1.215491523	0.00001
PRKCE	-1.577808728	0.00001
TMEM248	-1.184220855	0.00001
SSR3	-1.150066496	0.00001
DNAJC3	-0.667787288	0.00001
HMOX1	1.015429607	0.00001
TMED2	-0.486533301	0.00001
SSR2	-0.709278019	0.00001
SPCS2	-0.660211755	0.00001
ATF5	-2.372549443	0.00001
S100A11	-0.381427977	0.00001
CLEC6A	-0.508528266	0.00001
JPT1	0.475952365	0.00001
CORO1A	-0.546816754	0.00001
DUSP2	-1.658668582	0.00001
NFKB1	-0.886534989	0.00001
JUNB	-0.611340048	0.00001
ACTR3	-0.352511653	0.00001
NHP2	0.890901588	0.00001
MIF	0.590153908	0.00001
SEC61G	-0.335140388	0.00001
DGKG	-2.040184338	0.00001
MMP8	-2.20491895	0.00001
HSPA8	-0.227620157	0.00001
UQCC2	1.131532143	0.00001
PHB2	0.853534852	0.00001
PLAUR	-1.313917724	0.00001
RBMS1	-0.641000322	0.00001
SPP1	2.686920167	0.00001
IL7R	1.872181938	0.00001
PLIN2	0.640633936	0.00001
EMP1	1.776552915	0.00001
ERRFI1	-1.244423326	0.00001
RPS9	-0.278776464	0.00001
RPS27	-0.217447847	0.00001
ARHGAP15	-1.024513223	0.00001
ADORA2B	-1.517961157	0.00001
ARF5	-0.421070121	0.00001
MVD	-1.776310556	0.00001
TMED5	-1.133083958	0.00001
ORAI1	-1.373571888	0.00001
CD33	-3.329904326	0.00001
ST7	-2.220220285	0.00001
SELENOS	-0.529813653	0.00001
FGR	-1.236331869	0.00001
SAMHD1	-1.392609031	0.00001
PITPNC1	0.790176978	0.00001
LAT2	1.614561922	0.00001
EXOSC5	2.028545335	0.00001
MAML3	-0.719902993	0.00001
SCAMP3	1.431859978	0.00001
TEX264	1.927604153	0.00001
SCFD1	-1.023285158	0.00001
CALM2	0.33288923	0.00001
ECM1	0.999211978	0.00001
CTSD	1.166443764	0.00001
ACIN1	-0.924499438	0.00001
DENND1A	0.552254807	0.00001
SBF2	2.607838454	0.00001
GPR35	-1.424132598	0.00001
TGM2	-0.850968305	0.00001
IL1R2	-3.689156721	0.00001
TGM1	-3.321355063	0.00001
ID2	0.562366578	0.00001
LIPA	1.952676046	0.00001
PF4	3.356331323	0.00001
TBCA	0.866839202	0.00001
PPIA	0.321755767	0.00001
SERPINB2	-6.220557925	0.00001
IL13RA1	-1.744738824	0.00001
IGSF6	-0.80588401	0.00001
BST1	-1.151119576	0.00001
CASP6	-2.142962019	0.00001
IQGAP2	1.443943198	0.00001
RNF217	-2.172248248	0.00001
NDUFA12	0.984345497	0.00001
TRPS1	-1.00647463	0.00001
KCTD12	-0.816961885	0.00001
ETFB	0.641836808	0.00001
ATP5MC1	0.542313656	0.00001
ELL2	-0.801378188	0.00001
NDUFC1	0.6719705	0.00001
