Gene_Symbol	logFC	pv
SERPINB2	-6.221	0.0001
TREM1	-3.29	0.0001
GPAT3	-3.011	0.0001
EGLN3	-2.87	0.0001
F5	-2.832	0.0001
INHBA	-2.618	0.0001
TES	-2.506	0.0001
UPP1	-2.455	0.0001
LRRC4	-2.392	0.0001
SLPI	-2.198	0.0001
LPAR1	-2.184	0.0001
SC5D	-2.084	0.0001
SLC2A1	-2.017	0.0001
NEDD9	-1.941	0.0001
SMOX	-1.774	0.0001
IL13RA1	-1.745	0.0001
HERPUD1	-1.726	0.0001
PFKP	-1.662	0.0001
GPR141	-1.655	0.0001
GADD45A	-1.653	0.0001
DNAJB9	-1.645	0.0001
F10	-1.628	0.0001
SLC16A3	-1.625	0.0001
SEC23B	-1.516	0.0001
FNDC3A	-1.448	0.0001
PIWIL2	-1.42	0.0001
SELENBP1	-1.41	0.0001
MTHFD1L	-1.405	0.0001
CCR1	-1.353	0.0001
TMEM248	-1.184	0.0001
EMILIN2	-1.179	0.0001
SEC61A1	-1.175	0.0001
ERO1A	-1.173	0.0001
BST1	-1.151	0.0001
SSR3	-1.15	0.0001
TLR4	-1.14	0.0001
HK1	-1.008	0.0001
RFX3	-0.996	0.0001
ZNF292	-0.985	0.0001
NUCB2	-0.972	0.0001
SNX18	-0.968	0.0001
SGMS2	-0.93	0.0001
BNIP3	-0.915	0.0001
RGCC	-0.904	0.0001
ATF4	-0.839	0.0001
USO1	-0.773	0.0001
ATP9B	-0.751	0.0001
IMPA2	-0.717	0.0001
MANF	-0.709	0.0001
TUBA1A	-0.705	0.0001
PRDX6	-0.689	0.0001
CXCL3	-0.681	0.0001
P4HB	-0.677	0.0001
ESYT2	-0.664	0.0001
SPIDR	-0.659	0.0001
GBE1	-0.644	0.0001
PCGF5	-0.62	0.0001
MAP2K1	-0.617	0.0001
CRELD2	-0.593	0.0001
RNF11	-0.551	0.0001
FBXL5	-0.528	0.0001
SLBP	-0.511	0.0001
PILRA	-0.474	0.0001
P4HA1	-0.437	0.0001
SLC23A2	-0.39	0.0001
PGM1	-0.337	0.0001
HIGD1A	-0.327	0.0001
SLC35B1	-0.253	0.0001
FBXO28	-0.238	0.0001
RSBN1	-0.226	0.0001
GRINA	-0.18	0.0001
EIF4EBP1	-0.178	0.0001
RESF1	-0.164	0.0001
TYROBP	-0.136	0.0001
RBPMS	-0.108	0.0001
FAM162A	-0.107	0.0001
FCER1G	-0.058	0.0001
MT2A	-0.049	0.0001
RPL3	0.015	0.0001
RPL32	0.016	0.0001
RPS8	0.018	0.0001
RPS19	0.024	0.0001
RPL14	0.045	0.0001
RPL41	0.075	0.0001
DDX21	0.086	0.0001
TMSB4X	0.106	0.0001
PDIA4	0.11	0.0001
CTSS	0.111	0.0001
RPLP1	0.111	0.0001
CCND2	0.293	0.0001
FAM102B	0.678	0.0001
LYAR	0.787	0.0001
TDRD7	0.971	0.0001
