Gene_Symbol	logFC	pv
F7	-5.265	0.001
PDPN	-2.745	0.001
IL7R	-2.351	0.001
ADAM8	-2.218	0.001
CD36	-2.214	0.001
LMNA	-1.529	0.001
RGS1	-1.487	0.001
PLK2	-1.35	0.001
ANKRD33B	-1.239	0.001
BCL2L1	-1.194	0.001
ATP6V1C1	-1.145	0.001
FAM20C	-1.142	0.001
PCNA	-1.04	0.001
MMP12	-1.034	0.001
UAP1L1	-0.902	0.001
DENND4C	-0.797	0.001
NDUFS6	-0.762	0.001
AMDHD2	-0.756	0.001
SLC9A3R1	-0.71	0.001
AP2M1	-0.697	0.001
SAMD8	-0.663	0.001
SOAT1	-0.661	0.001
PLGRKT	-0.644	0.001
ATP6V1B2	-0.614	0.001
LPL	-0.533	0.001
FABP4	-0.508	0.001
TPM1	-0.418	0.001
FABP5	-0.322	0.001
OPA1	-0.309	0.001
UHRF2	-0.289	0.001
PSD3	-0.278	0.001
MPP1	-0.275	0.001
SLC48A1	-0.171	0.001
LHFPL2	-0.138	0.001
AOPEP	-0.127	0.001
TNFSF13	-0.117	0.001
ATP6V1A	-0.111	0.001
GDF15	-0.082	0.001
MAP4K3	-0.075	0.001
MYO1E	-0.057	0.001
SLAMF7	-0.035	0.001
NAA38	-0.013	0.001
CD84	0.012	0.001
HMGN5	0.021	0.001
PKIB	0.04	0.001
ACP5	0.077	0.001
GPR137B	0.102	0.001
GLMP	0.137	0.001
B4GALT6	0.152	0.001
RABGGTB	0.157	0.001
ITGB1	0.168	0.001
LIPA	0.171	0.001
MTSS1	0.173	0.001
CFB	0.202	0.001
ABHD12	0.254	0.001
CYB5A	0.313	0.001
IFI27	0.319	0.001
DNMT3A	0.342	0.001
SLC25A4	0.349	0.001
IL3RA	0.351	0.001
CD9	0.387	0.001
SPTSSA	0.399	0.001
STAB1	0.414	0.001
SYNGR1	0.465	0.001
SELENOH	0.522	0.001
GPNMB	0.546	0.001
ACSS1	0.572	0.001
TLK1	0.615	0.001
RHOC	0.632	0.001
TLE5	0.705	0.001
CAMK1	0.775	0.001
PRDX4	0.782	0.001
PLD3	0.809	0.001
CKB	0.855	0.001
OSBPL11	0.87	0.001
FOLR2	0.879	0.001
NENF	0.879	0.001
FAM219A	0.935	0.001
ATP6V0D2	0.984	0.001
BHLHE41	1.002	0.001
PTMS	1.008	0.001
LGALS3BP	1.1	0.001
MAN1C1	1.215	0.001
S100A1	1.292	0.001
STMN1	1.292	0.001
CELA1	1.335	0.001
NPY	1.336	0.001
TSPAN4	1.348	0.001
SELENOM	1.428	0.001
GAS6	1.429	0.001
BLNK	1.458	0.001
HEBP1	1.576	0.001
PMP22	1.632	0.001
FBXW4	1.751	0.001
WWP1	1.962	0.001
SLAMF9	1.973	0.001
TMEM140	2.136	0.001
H1-2	2.199	0.001
CD72	2.231	0.001
IGF1	2.312	0.001
TTYH2	2.457	0.001
CCL8	2.504	0.001
MFGE8	2.593	0.001
H2BC5	2.614	0.001
CADM1	2.648	0.001
PDGFC	3.629	0.001
