DNB_Symbol	DNB_log2fc	pv
SERPINB2	-1.281374816	0.00001
TREM1	-1.071327179	0.00001
TES	-1.21932548	0.00001
UPP1	-1.761076911	0.00001
SLPI	-1.304348374	0.00001
LPAR1	-1.597083907	0.00001
SC5D	-2.507973899	0.00001
NEDD9	-1.200104363	0.00001
SMOX	-1.17635262	0.00001
IL13RA1	-1.345633472	0.00001
PFKP	-1.1932377	0.00001
GPR141	-1.40585311	0.00001
GADD45A	-1.211281321	0.00001
F10	-1.545417259	0.00001
SEC23B	-1.213952514	0.00001
SELENBP1	-1.14205147	0.00001
EMILIN2	-1.152315696	0.00001
SEC61A1	-1.078724442	0.00001
TLR4	-1.139802904	0.00001
HK1	-1.111542644	0.00001
RFX3	-1.10982464	0.00001
ZNF292	-1.628695594	0.00001
KLF7	-1.337785002	0.00001
MAML2	-1.570979587	0.00001
ATF4	-1.440831687	0.00001
NDRG1	-1.081715752	0.00001
USO1	-1.087404454	0.00001
PRDX6	-1.140948448	0.00001
P4HB	-1.16558587	0.00001
SPIDR	-1.11067512	0.00001
PCGF5	-1.66441893	0.00001
MAP2K1	-1.878627895	0.00001
SLBP	-1.586743629	0.00001
P4HA1	-1.239257022	0.00001
SLC23A2	-1.109665383	0.00001
HIGD1A	-1.193966064	0.00001
FBXO28	-2.084025472	0.00001
RSBN1	-1.564878713	0.00001
GRINA	-1.155262881	0.00001
SERPINE1	-1.168607118	0.00001
EIF4EBP1	-1.174093425	0.00001
RESF1	-1.66441893	0.00001
RBPMS	-1.878627895	0.00001
FAM102B	-1.391169016	0.00001
TDRD7	-1.586743629	0.00001
SLC2A1	-1.03061515	0.00001
RPL3	1.146298673	0.00001
RPL14	1.270996771	0.00001
LYAR	1.182028042	0.00001
