DNB_Symbol	DNB_log2fc	pv
SLC16A3	-2.482815831	0.00005
GPR141	-2.265788461	0.00005
XDH	-2.184386975	0.00005
ASAP1	-2.179726599	0.00005
PGD	-2.071776366	0.00005
SORL1	-1.939409743	0.00005
SRA1	-1.932733765	0.00005
CEPT1	-1.78737418	0.00005
ERRFI1	-1.643247368	0.00005
PPP1R2	-1.570455477	0.00005
TMPO	-1.513901849	0.00005
FCGR1A	-1.376413651	0.00005
CDK2AP2	-1.337053555	0.00005
AP2A2	-1.320682255	0.00005
RASSF4	-1.24966976	0.00005
IFNGR1	-1.209352152	0.00005
NR4A2	-1.134522259	0.00005
CYTH1	-1.131917993	0.00005
AP1S2	-1.116004039	0.00005
CFH	-1.017707426	0.00005
FYB1	-0.898402168	0.00005
CMTM7	-0.867113253	0.00005
TM6SF1	-0.856020977	0.00005
PFKL	1.09420786	0.00005
RNF130	1.118301952	0.00005
FUCA2	1.143113058	0.00005
SEMA4D	1.176991488	0.00005
IL1R2	1.238920303	0.00005
LAIR1	1.258928216	0.00005
TEP1	1.295200607	0.00005
COL18A1	1.295682959	0.00005
ISY1	1.305211214	0.00005
SDF2L1	1.344361879	0.00005
PILRA	1.361945686	0.00005
CFP	1.449565188	0.00005
OAT	1.465045722	0.00005
CLEC6A	1.495305735	0.00005
CCNDBP1	1.553142601	0.00005
RGS2	1.56407976	0.00005
SNX5	1.578518324	0.00005
RGS10	1.587739159	0.00005
CD300LD	1.638513607	0.00005
INSIG1	1.653462823	0.00005
CD33	1.668663237	0.00005
CREG1	1.66883361	0.00005
MRC1	1.802507655	0.00005
SPON1	1.826543787	0.00005
PDIA4	1.903667978	0.00005
TMEM176B	1.910357235	0.00005
DDX19A	2.027890015	0.00005
TMEM176A	2.033453647	0.00005
SLC4A11	2.075820099	0.00005
NCEH1	2.181848556	0.00005
LGALS3BP	2.291180582	0.00005
CORO2A	2.329560083	0.00005
ANXA3	2.393962645	0.00005
ITGB5	2.667697707	0.00005
LY9	2.815173133	0.00005
SDC3	2.935434251	0.00005
C1QB	2.949584385	0.00005
NCL	3.045651488	0.00005
AXL	3.126925866	0.00005
PLTP	3.174824065	0.00005
EGR2	3.212034281	0.00005
TMEM37	3.448215521	0.00005
DPYSL2	4.878185975	0.00005
