Gene_Symbol	logFC	pv
GIMAP7	2.635945461	0
CCR1	2.634139545	0
CCRL2	2.626257034	0
DST	2.617886878	0
MALT1	2.607065465	0
LRBA	2.603179541	0
GRN	2.560827885	0
ENTPD1	2.549878624	0
FABP5	2.544214074	0
CD5	2.519942929	0
MRPS6	2.497367639	0
DDIT4	2.472827629	0
CHCHD10	2.467203641	0
CCR2	2.458771302	0
STX11	2.453908716	0
NAA20	2.449502946	0
MMD	2.443642537	0
PSEN2	2.437752211	0
ITGAV	2.437232798	0
IL1R2	2.430674172	0
PRDM1	2.426374215	0
ADAM19	2.416971002	0
SEMA4B	2.414371503	0
RILPL2	2.410218292	0
MED15	2.406453397	0
GTPBP2	2.3993614	0
NDRG1	2.387672707	0
MAF	2.386323692	0
SSH2	2.374017706	0
GM2A	2.370234025	0
TNFRSF18	2.366957696	0
N4BP1	2.3514854	0
IZUMO1R	2.327619121	0
NMB	2.326528743	0
SEC14L1	2.312900095	0
MID1IP1	2.307470309	0
LAG3	2.300525886	0
NPC2	2.278474982	0
MIF4GD	2.277341003	0
GLRX	2.238915109	0
CRLF2	2.216886571	0
ITM2C	2.203235097	0
TAP2	2.196324853	0
ITGAE	2.175797702	0
CTSB	2.140561134	0
SDF4	2.13800619	0
AREG	2.136529869	0
VMP1	2.091717118	0
IL2RA	2.090413924	0
CTLA4	2.084791053	0
CYFIP1	2.061320939	0
TNFRSF9	2.055155492	0
TNFRSF1B	2.021036975	0
CD2	2.012038944	0
LAMC1	2.009980167	0
SLC50A1	1.767727287	0
CCR5	1.756430958	0
TNFRSF4	-2.118465081	0
CLDND1	-2.240267482	0
TIMP2	-2.333289438	0
CD27	-2.358528748	0
FOXP3	-2.389155444	0
PKP3	-2.405638308	0
LAPTM4B	-2.535423343	0
CD6	-2.627578483	0
