Gene_Symbol	logFC	TYPE
DDIT4L	17.54625262	Vascular
CENPH	17.14576156	Prolif
CCNE1	17.02640049	Prolif
CDH3	16.64554294	Vascular
LRR1	16.27811587	Prolif
NSL1	16.23862885	Prolif
DIO3	15.93687499	Prolif
MCAM	15.82813882	Vascular
KIF11	15.51085798	Prolif
#N/A	15.36406932	Vascular
#N/A	15.28079718	Prolif
CENPI	15.18259882	Prolif
FANCD2	15.17687155	Prolif
NANOS1	15.13849283	Prolif
ECT2	14.92657391	Prolif
CREB3L3	14.80346403	Vascular
RRM2	8.089927055	Prolif
KIF26B	5.216630467	Vascular
CKAP2L	5.213832783	Prolif
EXO1	5.157281744	Prolif
CCN4	4.980511152	Vascular
CDC45	4.978618565	Prolif
CHAF1B	4.976937977	Prolif
AURKA	4.921537032	Prolif
MS4A7	4.918147396	Vascular
CDCA8	4.916250548	Prolif
TCF19	4.913621408	Prolif
NSUN7	4.86061208	Vascular
CENPK	4.855901508	Prolif
DTL	4.796036782	Prolif
ANO4	4.788735371	Fibrosis
UNG	4.787067517	Prolif
MCM5	4.775852973	Prolif
GMNN	4.770468652	Prolif
MYL9	4.756973526	Vascular
RAD54L	4.666887442	Prolif
MMS22L	4.61817068	Prolif
PWWP3B	4.365864623	Prolif
#N/A	4.350508067	Prolif
CTHRC1	4.203890028	Vascular
CENPP	4.145852183	Prolif
UHRF1	4.145803543	Prolif
KCNQ5	4.014904863	Fibrosis
ACTA2	3.993464807	Vascular
HMGA2	3.963536901	Prolif
MYOZ3	3.934422288	Vascular
NCAM1	3.919663442	Vascular
#N/A	3.908015224	Prolif
MEGF11	3.892946652	Prolif
INCENP	3.890173415	Prolif
CDH2	3.870161417	Vascular
ZWILCH	3.862340358	Prolif
LIG1	3.827335929	Prolif
SASS6	3.79155005	Prolif
#N/A	3.777310924	Prolif
PDLIM4	3.768548033	Prolif
BRIP1	3.709987084	Prolif
STEAP1	3.691756811	Prolif
CDK2	3.688795174	Prolif
HMGB3	3.656943954	Prolif
MCM3	3.64920179	Prolif
MAD2L1	3.640927508	Prolif
CHAF1A	3.627849724	Prolif
NECTIN2	3.601143482	Vascular
RAD51B	3.575192495	Prolif
GINS2	3.548618209	Prolif
LFNG	3.492534454	Vascular
SYCE2	3.453529784	Prolif
CENPS	3.405205341	Prolif
WDHD1	3.386503713	Prolif
TMEM121	3.367614248	Prolif
RAC3	3.330043384	Vascular
MCM6	3.301568618	Prolif
GINS1	3.295720305	Prolif
MCM7	3.294853639	Prolif
H1-4	3.287212541	Prolif
LSMEM1	3.235307651	Prolif
PLAC8	3.197076405	Vascular
SPP1	3.176363365	Prolif
PALLD	3.173512624	Vascular
INAVA	3.151869535	Prolif
HAUS6	3.137676626	Prolif
TAGLN	3.122898428	Vascular
FMN1	3.093710291	Vascular
RASL11A	3.069297935	Prolif
DDAH1	3.047278151	Vascular
SPECC1	3.041072271	Vascular
SELENOH	3.026728624	Prolif
LOXL3	3.021670245	Vascular
DNPH1	3.014135184	Prolif
ATOH8	3.010900249	Vascular
NT5DC2	2.97245159	Prolif
#N/A	2.960929783	Prolif
#N/A	2.95636156	Vascular
TTYH3	2.925319274	Prolif
RRM1	2.900666492	Prolif
FABP5	2.8788387	Prolif
HP	2.857634064	Prolif
SMC2	2.853667981	Prolif
#N/A	2.813368589	Prolif
TCEA3	2.790038749	Vascular
PRKAR2B	2.772189705	Prolif
ESRRG	2.713850501	Vascular
DNMT1	2.694939466	Prolif
LIMD2	2.694166838	Prolif
TYMS	2.689349012	Prolif
PRIM1	2.683335725	Prolif
FEN1	2.628859749	Prolif
CX3CL1	2.548120581	Vascular
MYLK	2.505215714	Vascular
CCNB1IP1	2.501389164	Prolif
ADGRL2	2.486631169	Vascular
ADAMTS14	2.482308307	Prolif
SLC38A4	2.47910912	Prolif
TRO	2.452443719	Vascular
DNAJC9	2.451534241	Prolif
NCAPG2	2.428191734	Prolif
CDCA7	2.426781664	Prolif
HAUS7	2.421515895	Prolif
PLK2	2.415231884	Vascular
RUNX1	2.390084949	Vascular
PHLDB2	2.389764024	Vascular
