Gene_Symbol	logFC	pv
ITM2A	-2.145582252	0.0005
FNDC1	-1.462462915	0.0005
MDK	-1.443420231	0.0005
CTCFL	-1.713298758	0.0005
THBS2	-1.510698227	0.0005
C1QTNF3	-2.087600827	0.0005
MFAP2	-1.531901142	0.0005
RIN2	-1.683497484	0.0005
PIEZO2	-0.972864128	0.0005
NCAM1	-1.568481638	0.0005
COL11A1	-1.754529884	0.0005
PHLDB2	-1.670548961	0.0005
PRICKLE1	-1.097880939	0.0005
SCX	-0.944713966	0.0005
PICALM	-1.483751884	0.0005
KCNMA1	-2.8578228	0.0005
PAMR1	-0.994333315	0.0005
NHS	-1.46566021	0.0005
PLXNA4	-1.546703226	0.0005
SULF2	-1.211248102	0.0005
NEO1	-1.090864198	0.0005
CDH11	-1.583037888	0.0005
FBN2	1.10437308	0.0005
COL16A1	-1.301324416	0.0005
IFITM10	-1.084625955	0.0005
NXN	1.079068655	0.0005
STRBP	-1.198041496	0.0005
TRABD2B	-1.197945222	0.0005
KIAA1217	-2.456551426	0.0005
AQP2	-1.604051823	0.0005
SLC7A2	-1.663948678	0.0005
KCNJ15	-1.633839926	0.0005
SUSD6	-1.324200466	0.0005
ITGA11	-1.20865188	0.0005
RGL1	-1.037365221	0.0005
ACAN	-2.530796311	0.0005
TMEM263	1.053278704	0.0005
MYO1E	-1.490164908	0.0005
PIK3R3	-1.376500731	0.0005
FLRT2	-1.077221569	0.0005
EIF1	-1.071167479	0.0005
SLIT2	-0.981358549	0.0005
COL11A1	-1.754529884	0.0005
PRICKLE1	-1.097880939	0.0005
TSC22D1	-1.33385814	0.0005
RAI14	-0.944914015	0.0005
SERF1A	-0.968628601	0.0005
PIK3R3	-1.376500731	0.0005
TCEA3	-1.233452276	0.0005
