	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm	Rank	Rank	Rank	Rank	Rank	Rank	Rank	Rank	sumrank								
S12S11	1.155798133	-4.605170186	0.399454517	1.10294087	0.267847355	0.390804598	108.7487685	3.069803712	74	466	26	27	15	5	1	2	1.56115E-07			0.66058017	0.765991391	0.852823542	0.716716687	0.732132191	0.692235164
S13S22	0.017481624	2.22716901	-0.003067178	0.061238853	0.229877827	0.153235653	92.43386243	3.097859979	179	66	220	168	26	88.5	2	1	0.001447656								
S12S5	-0.127332705	1.799358451	0.421248729	1.154653216	0.387909562	0.290640394	78.40394089	1.067540895	247	96	20	17	2	31	3	41	1.9141E-06								
S5S14	0.004755112	-0.412669767	-0.114579823	-0.206640077	0.000274118	0.10989011	72.24867725	2.379406596	182	225	365	304	199	117	4	4	0.005728538								
S15S27	1.670604782	-4.605170186	0.503739871	1.428963526	0.373806219	0.342825362	72.12258065	2.035288482	7	466	6	5	4	13	5	8	1.94501E-09								
S6S14	0.310051107	-4.605170186	0.104686127	0.497302288	0.168248537	0.171550672	64.37301587	1.506269599	100	466	90	75	51	81	6	17	0.000214149								
S6S8	-0.081287611	-4.605170186	0.174067073	0.590364339	0.302061671	0.227716728	62.3968254	2.091975545	231	466	68	68	9	47	7	7	3.98396E-05								
S14S6	1.165299645	2.065007446	0.399659602	1.072706492	0.265844369	0.222660099	56.4	2.305830109	72	77	25	28	17	50	8	5	6.29624E-06								
S14S1	-1.038483199	2.663548396	0.384369759	1.118589685	0.215997256	0.062068966	49.35053763	2.028993508	349	10	31	23	29	164	9	9	3.25441E-05								
S2S23	1.38710583	2.497557975	-0.016366819	0.206248318	0.160257631	0.196059113	48.73333333	1.40336936	33	26	243	120	56	62	10	21	0.017807007								
S6S30	0.465787462	1.708901372	0.018726481	0.166570525	0.107933674	0.155067155	43.93121693	1.95576366	86	100	190	135	95	86	11	11	0.018957576								
S3S20	1.266078026	-1.547889053	-0.03436562	0.116691321	0.045590051	0.049261084	43.19950739	0.920864412	53	346	270	148	145	178	12	50	0.150201928								
S6S22	-1.268840648	-4.605170186	-0.069812046	-0.006470422	0.03177976	0.005494505	35.66931217	1.248659222	388	466	323	207	162	233	13	26	0.214714255								
S7S1	0.104312685	-1.255931857	-0.134999531	-0.251175471	-0.078546356	0.194749695	35.19047619	1.048379046	149	305	379	313	302	63	14	43	0.182513759								
S17S18	0.358988712	0.372035262	0.350958067	0.924514447	0.170563105	0.07044335	34.84597701	1.272342533	91	194	43	48	49	149	15	25	0.000310859								
S15S11	1.000529793	-4.605170186	0.424608275	1.181624006	0.248995743	0.185714286	29.52643678	2.137099221	84	466	18	15	23	66	16	6	7.42024E-06								
S12S29	1.28917969	1.781587502	0.174575142	0.607401082	0.317558162	0.357963875	29.16502463	1.293691772	50	97	67	67	8	8	17	23	3.6451E-05								
S3S13	1.559173871	2.172975289	0.046410248	0.300229123	0.243821204	0.340448823	28.64285714	1.580969335	14	69	148	100	25	14	18	15	0.000535006								
S3S29	1.185017026	2.513931799	-0.012545984	0.176765263	0.151026549	0.323152709	28.13563218	0.880952479	70	22	235	128	62	18	19	53	0.017807007								
S3S11	1.048608451	2.308573189	0.525272619	1.46325722	0.431696566	0.508483853	26.30295567	1.873226966	82	50	5	3	1	1	20	13	2.57894E-08								
S2S3	0.305755396	-0.432995373	-0.024420089	0.04284255	0.063297269	0.367741935	24.77204301	1.698104084	102	227	255	180	129	7	21	14	0.008268845								
S12S6	-0.114274974	2.310044643	0.124950984	0.444154984	0.276608028	0.209633279	24.68472906	0.642453963	245	49	77	76	14	55	22	70	8.39857E-05								
S14S5	0.059956771	0.07055709	0.550337604	1.567435751	0.354112765	0.346305419	20.72183908	1.106098448	164	208	2	2	6	11	23	37	1.03388E-06								
S3S12	1.343586304	2.36253121	0.202032093	0.620308317	0.369069645	0.420361248	20.21182266	1.427102774	41	43	66	65	5	2	24	20	3.33062E-05								
S17S26	1.326743932	2.437678588	0.001561772	-0.059555753	0.084308201	0.010011123	19.17419355	1.562331448	45	34	211	240	114	225	25	16	0.077006723								
S6S23	0.203715971	2.405271923	0.063556624	0.37794593	0.185254081	0.185592186	16.83862434	1.505929159	125	38	129	84	43	67	26	18	0.001856947								
S2S4	0.242878702	2.303915615	0.010897743	0.232807989	0.122814113	0.33546798	14.76091954	0.625152765	113	51	200	115	81	15	27	73	0.019459987								
S2S28	1.281504643	1.99765825	0.048218667	0.320332542	0.173850995	0.205254516	13.45566502	0.91682697	51	83	144	93	48	58	28	51	0.003592826								
S7S13	1.378029231	-4.605170186	-0.025499027	0.114824565	0.090921438	0.104395604	12.14285714	1.215000901	34	466	257	149	107	123	29	29	0.066022521								
S3S15	1.47629043	1.825814431	-0.008994578	0.267387976	0.209143447	0.293924466	11.78325123	1.186205223	21	94	228	105	30	29	30	32	0.001402622								
S5S22	0.230849848	-4.605170186	0.034076418	0.219289106	0.090837352	0.07020757	11.01322751	0.944166845	121	466	165	117	108	150	31	48	0.008131391								
S5S8	-0.822006472	-4.605170186	0.227571795	0.618565529	0.077736213	0.105616606	8.558201058	1.209977278	341	466	65	66	121	122	32	30	0.001328679								
S15S26	1.481058122	1.398387485	0.109502604	0.417586353	0.246109161	0.31773399	8.273563218	1.056074697	19	114	85	78	24	21	33	42	0.000151976								
S9S2	-0.457075693	-4.605170186	0.457106891	1.141489972	0.277894571	0.214285714	8.126436782	0.733435407	319	466	14	19	13	52.5	34	62	2.28882E-05								
S3S19	1.305578997	-1.516069918	-0.043502754	0.132065016	0.109611864	0.045977011	3.687192118	1.141947175	48	340	284	143	92	184	35	36	0.17473239								
S17S17	1.650876539	0.319947301	0.37496394	0.977643182	0.226427501	0.175369458	2.464367816	0.656632969	9	197	34	37	27	75	36	69	7.17181E-05								
S13S11	1.415193002	-2.300872029	-0.077769669	-0.11335442	0.123657239	0.214285714	1.965608466	1.91692311	26	399	329	270	78	52.5	37	12	0.042100186								
